id=42  property=dbo:occupation  object=http://dbpedia.org/resource/Actress  NumberOfEntitiesFoundForObject=42
actress-NN  multiply=0.260417  P(actress|object)=1.0  P(object|actress)=0.260417    Lift=0.005208 {Confidence word=0.129032 object=0.476427 =0.124069 Lift=2.018229}
daughter-NN  multiply=0.097002  P(daughter|object)=0.238095  P(object|daughter)=0.407407    Lift=0.008818 {Confidence word=0.129032 object=0.066998 =0.027295 Lift=3.157407}
british-JJ  multiply=0.09465  P(british|object)=0.547619  P(object|british)=0.17284    Lift=0.00338 {Confidence word=0.129032 object=0.401985 =0.069479 Lift=1.339506}
soap-NN  multiply=0.089431  P(soap|object)=0.261905  P(object|soap)=0.341463    Lift=0.006388 {Confidence word=0.129032 object=0.101737 =0.034739 Lift=2.646341}
opera-NN  multiply=0.079365  P(opera|object)=0.238095  P(object|opera)=0.333333    Lift=0.007937 {Confidence word=0.129032 object=0.074442 =0.024814 Lift=2.583333}
role-NN  multiply=0.079101  P(role|object)=0.547619  P(object|role)=0.144444    Lift=0.003042 {Confidence word=0.129032 object=0.44665 =0.064516 Lift=1.119444}
age-NN  multiply=0.06197  P(age|object)=0.452381  P(object|age)=0.136986    Lift=0.003098 {Confidence word=0.129032 object=0.362283 =0.049628 Lift=1.061644}
english-JJ  multiply=0.051913  P(english|object)=0.333333  P(object|english)=0.155738    Lift=0.002732 {Confidence word=0.129032 object=0.30273 =0.047146 Lift=1.206967}
series-NN  multiply=0.048963  P(series|object)=0.357143  P(object|series)=0.137097    Lift=0.00288 {Confidence word=0.129032 object=0.307692 =0.042184 Lift=1.0625}
television-NN  multiply=0.041063  P(television|object)=0.404762  P(object|television)=0.101449    Lift=0.001955 {Confidence word=0.129032 object=0.513648 =0.052109 Lift=0.786232}
award-NN  multiply=0.038961  P(award|object)=0.142857  P(object|award)=0.272727    Lift=0.004329 {Confidence word=0.129032 object=0.081886 =0.022333 Lift=2.113636}
drama-NN  multiply=0.03869  P(drama|object)=0.238095  P(object|drama)=0.1625    Lift=0.002976 {Confidence word=0.129032 object=0.198511 =0.032258 Lift=1.259375}
stage-NN  multiply=0.037677  P(stage|object)=0.285714  P(object|stage)=0.131868    Lift=0.00314 {Confidence word=0.129032 object=0.225806 =0.029777 Lift=1.021978}
former-JJ  multiply=0.035714  P(former|object)=0.119048  P(object|former)=0.3    Lift=0.005952 {Confidence word=0.129032 object=0.049628 =0.014888 Lift=2.325}
character-NN  multiply=0.032345  P(character|object)=0.190476  P(object|character)=0.169811    Lift=0.003594 {Confidence word=0.129032 object=0.131514 =0.022333 Lift=1.316038}
appearance-NN  multiply=0.031513  P(appearance|object)=0.214286  P(object|appearance)=0.147059    Lift=0.003151 {Confidence word=0.129032 object=0.168734 =0.024814 Lift=1.139706}
sitcom-NN  multiply=0.031328  P(sitcom|object)=0.119048  P(object|sitcom)=0.263158    Lift=0.006266 {Confidence word=0.129032 object=0.047146 =0.012407 Lift=2.039474}
son-NN  multiply=0.030075  P(son|object)=0.285714  P(object|son)=0.105263    Lift=0.002506 {Confidence word=0.129032 object=0.282878 =0.029777 Lift=0.815789}
first-JJ  multiply=0.024187  P(first|object)=0.190476  P(object|first)=0.126984    Lift=0.003023 {Confidence word=0.129032 object=0.156328 =0.019851 Lift=0.984127}
film-NN  multiply=0.020062  P(film|object)=0.309524  P(object|film)=0.064815    Lift=0.001433 {Confidence word=0.129032 object=0.53598 =0.034739 Lift=0.502315}
young-JJ  multiply=0.019048  P(young|object)=0.095238  P(object|young)=0.2    Lift=0.003175 {Confidence word=0.129032 object=0.074442 =0.014888 Lift=1.55}
work-NN  multiply=0.017647  P(work|object)=0.166667  P(object|work)=0.105882    Lift=0.001961 {Confidence word=0.129032 object=0.210918 =0.022333 Lift=0.820588}
director-NN  multiply=0.017422  P(director|object)=0.119048  P(object|director)=0.146341    Lift=0.002904 {Confidence word=0.129032 object=0.101737 =0.014888 Lift=1.134146}
part-NN  multiply=0.015873  P(part|object)=0.142857  P(object|part)=0.111111    Lift=0.002268 {Confidence word=0.129032 object=0.156328 =0.01737 Lift=0.861111}
name-NN  multiply=0.013605  P(name|object)=0.095238  P(object|name)=0.142857    Lift=0.003401 {Confidence word=0.129032 object=0.069479 =0.009926 Lift=1.107143}
mother-NN  multiply=0.013605  P(mother|object)=0.095238  P(object|mother)=0.142857    Lift=0.003401 {Confidence word=0.129032 object=0.069479 =0.009926 Lift=1.107143}
father-NN  multiply=0.012755  P(father|object)=0.071429  P(object|father)=0.178571    Lift=0.002551 {Confidence word=0.129032 object=0.069479 =0.012407 Lift=1.383929}
debut-NN  multiply=0.012289  P(debut|object)=0.095238  P(object|debut)=0.129032    Lift=0.003072 {Confidence word=0.129032 object=0.076923 =0.009926 Lift=1.0}
theatre-NN  multiply=0.010638  P(theatre|object)=0.142857  P(object|theatre)=0.074468    Lift=0.00152 {Confidence word=0.129032 object=0.233251 =0.01737 Lift=0.577128}
voice-NN  multiply=0.010582  P(voice|object)=0.071429  P(object|voice)=0.148148    Lift=0.002646 {Confidence word=0.129032 object=0.066998 =0.009926 Lift=1.148148}
various-JJ  multiply=0.010582  P(various|object)=0.047619  P(object|various)=0.222222    Lift=0.002646 {Confidence word=0.129032 object=0.044665 =0.009926 Lift=1.722222}
early-JJ  multiply=0.010582  P(early|object)=0.071429  P(object|early)=0.148148    Lift=0.002646 {Confidence word=0.129032 object=0.066998 =0.009926 Lift=1.148148}
comedy-NN  multiply=0.010025  P(comedy|object)=0.095238  P(object|comedy)=0.105263    Lift=0.002506 {Confidence word=0.129032 object=0.094293 =0.009926 Lift=0.815789}

id=43  property=dbo:occupation  object=http://dbpedia.org/resource/Actor  NumberOfEntitiesFoundForObject=32
role-NN  multiply=0.229167  P(role|object)=0.6875  P(object|role)=0.333333    Lift=0.003819 {Confidence word=0.260546 object=0.44665 =0.148883 Lift=1.279365}
film-NN  multiply=0.161024  P(film|object)=0.65625  P(object|film)=0.24537    Lift=0.003038 {Confidence word=0.260546 object=0.53598 =0.131514 Lift=0.941755}
television-NN  multiply=0.146286  P(television|object)=0.53125  P(object|television)=0.275362    Lift=0.002566 {Confidence word=0.260546 object=0.513648 =0.141439 Lift=1.056867}
many-JJ  multiply=0.134146  P(many|object)=0.25  P(object|many)=0.536585    Lift=0.006098 {Confidence word=0.260546 object=0.101737 =0.054591 Lift=2.059466}
drama-NN  multiply=0.121875  P(drama|object)=0.375  P(object|drama)=0.325    Lift=0.004687 {Confidence word=0.260546 object=0.198511 =0.064516 Lift=1.247381}
son-NN  multiply=0.121711  P(son|object)=0.375  P(object|son)=0.324561    Lift=0.003289 {Confidence word=0.260546 object=0.282878 =0.091811 Lift=1.245698}
