id=384  property=dbp:birthDate  object=c.  NumberOfEntitiesFoundForObject=14
canadian-JJ  multiply=0.066756  P(canadian|object)=0.714286  P(object|canadian)=0.093458    Lift=0.006676 {Confidence word=0.021407 object=0.163609 =0.015291 Lift=4.365821}
legislative-JJ  multiply=0.043502  P(legislative|object)=0.642857  P(object|legislative)=0.067669    Lift=0.004834 {Confidence word=0.021407 object=0.203364 =0.013761 Lift=3.161117}
degree-NN  multiply=0.039409  P(degree|object)=0.285714  P(object|degree)=0.137931    Lift=0.009852 {Confidence word=0.021407 object=0.044343 =0.006116 Lift=6.44335}
assembly-NN  multiply=0.035495  P(assembly|object)=0.642857  P(object|assembly)=0.055215    Lift=0.003944 {Confidence word=0.021407 object=0.249235 =0.013761 Lift=2.579316}
electoral-JJ  multiply=0.031746  P(electoral|object)=0.285714  P(object|electoral)=0.111111    Lift=0.007937 {Confidence word=0.021407 object=0.055046 =0.006116 Lift=5.190476}
former-JJ  multiply=0.027132  P(former|object)=0.5  P(object|former)=0.054264    Lift=0.003876 {Confidence word=0.021407 object=0.197248 =0.010703 Lift=2.534884}
member-NN  multiply=0.019882  P(member|object)=0.642857  P(object|member)=0.030928    Lift=0.002209 {Confidence word=0.021407 object=0.444954 =0.013761 Lift=1.444772}
british-JJ  multiply=0.018735  P(british|object)=0.285714  P(object|british)=0.065574    Lift=0.004684 {Confidence word=0.021407 object=0.093272 =0.006116 Lift=3.063232}
community-NN  multiply=0.017857  P(community|object)=0.214286  P(object|community)=0.083333    Lift=0.005952 {Confidence word=0.021407 object=0.055046 =0.004587 Lift=3.892857}
district-NN  multiply=0.016234  P(district|object)=0.357143  P(object|district)=0.045455    Lift=0.003247 {Confidence word=0.021407 object=0.168196 =0.007645 Lift=2.123377}
position-NN  multiply=0.010539  P(position|object)=0.214286  P(object|position)=0.04918    Lift=0.003513 {Confidence word=0.021407 object=0.093272 =0.004587 Lift=2.297424}

id=385  property=dbp:birthDate  object=1953  NumberOfEntitiesFoundForObject=11
minister-NN  multiply=0.035573  P(minister|object)=0.545455  P(object|minister)=0.065217    Lift=0.005929 {Confidence word=0.01682 object=0.140673 =0.009174 Lift=3.87747}
provincial-JJ  multiply=0.027972  P(provincial|object)=0.363636  P(object|provincial)=0.076923    Lift=0.006993 {Confidence word=0.01682 object=0.079511 =0.006116 Lift=4.573427}
former-JJ  multiply=0.02537  P(former|object)=0.545455  P(object|former)=0.046512    Lift=0.004228 {Confidence word=0.01682 object=0.197248 =0.009174 Lift=2.765328}
canadian-JJ  multiply=0.02124  P(canadian|object)=0.454545  P(object|canadian)=0.046729    Lift=0.004248 {Confidence word=0.01682 object=0.163609 =0.007645 Lift=2.77825}
businessman-NN  multiply=0.019139  P(businessman|object)=0.181818  P(object|businessman)=0.105263    Lift=0.009569 {Confidence word=0.01682 object=0.029052 =0.003058 Lift=6.258373}
general-JJ  multiply=0.018182  P(general|object)=0.363636  P(object|general)=0.05    Lift=0.004545 {Confidence word=0.01682 object=0.122324 =0.006116 Lift=2.972727}
brother-NN  multiply=0.016529  P(brother|object)=0.181818  P(object|brother)=0.090909    Lift=0.008264 {Confidence word=0.01682 object=0.033639 =0.003058 Lift=5.404959}
official-JJ  multiply=0.012987  P(official|object)=0.181818  P(object|official)=0.071429    Lift=0.006494 {Confidence word=0.01682 object=0.042813 =0.003058 Lift=4.246753}
degree-NN  multiply=0.012539  P(degree|object)=0.181818  P(object|degree)=0.068966    Lift=0.00627 {Confidence word=0.01682 object=0.044343 =0.003058 Lift=4.100313}
mla-NN  multiply=0.012121  P(mla|object)=0.181818  P(object|mla)=0.066667    Lift=0.006061 {Confidence word=0.01682 object=0.045872 =0.003058 Lift=3.963636}
government-NN  multiply=0.010357  P(government|object)=0.272727  P(object|government)=0.037975    Lift=0.003452 {Confidence word=0.01682 object=0.120795 =0.004587 Lift=2.257768}
election-NN  multiply=0.010316  P(election|object)=0.363636  P(object|election)=0.028369    Lift=0.002579 {Confidence word=0.01682 object=0.215596 =0.006116 Lift=1.686654}
community-NN  multiply=0.010101  P(community|object)=0.181818  P(object|community)=0.055556    Lift=0.005051 {Confidence word=0.01682 object=0.055046 =0.003058 Lift=3.30303}

id=386  property=dbp:birthDate  object=1951  NumberOfEntitiesFoundForObject=11
farmer-NN  multiply=0.025974  P(farmer|object)=0.181818  P(object|farmer)=0.142857    Lift=0.012987 {Confidence word=0.01682 object=0.021407 =0.003058 Lift=8.493506}
position-NN  multiply=0.023845  P(position|object)=0.363636  P(object|position)=0.065574    Lift=0.005961 {Confidence word=0.01682 object=0.093272 =0.006116 Lift=3.898659}
community-NN  multiply=0.022727  P(community|object)=0.272727  P(object|community)=0.083333    Lift=0.007576 {Confidence word=0.01682 object=0.055046 =0.004587 Lift=4.954545}
