id=454  property=dbp:religion  object=Hindu  NumberOfEntitiesFoundForObject=45
indian-JJ  multiply=0.565993  P(indian|object)=0.911111  P(object|indian)=0.621212    Lift=0.013805 {Confidence word=0.125348 object=0.183844 =0.114206 Lift=4.955892}
sabha-NN  multiply=0.434625  P(sabha|object)=0.644444  P(object|sabha)=0.674419    Lift=0.014987 {Confidence word=0.125348 object=0.119777 =0.08078 Lift=5.380362}
constituency-NN  multiply=0.413737  P(constituency|object)=0.711111  P(object|constituency)=0.581818    Lift=0.012929 {Confidence word=0.125348 object=0.153203 =0.089136 Lift=4.641616}
lok-NN  multiply=0.385185  P(lok|object)=0.577778  P(object|lok)=0.666667    Lift=0.014815 {Confidence word=0.125348 object=0.108635 =0.072423 Lift=5.318519}
member-NN  multiply=0.111521  P(member|object)=0.733333  P(object|member)=0.152074    Lift=0.003379 {Confidence word=0.125348 object=0.604457 =0.091922 Lift=1.21321}
candidate-NN  multiply=0.104321  P(candidate|object)=0.288889  P(object|candidate)=0.361111    Lift=0.008025 {Confidence word=0.125348 object=0.100279 =0.036212 Lift=2.880864}
party-NN  multiply=0.079675  P(party|object)=0.466667  P(object|party)=0.170732    Lift=0.003794 {Confidence word=0.125348 object=0.342618 =0.058496 Lift=1.36206}
14th-JJ  multiply=0.077778  P(14th|object)=0.155556  P(object|14th)=0.5    Lift=0.011111 {Confidence word=0.125348 object=0.038997 =0.019499 Lift=3.988889}
president-NN  multiply=0.073638  P(president|object)=0.288889  P(object|president)=0.254902    Lift=0.005664 {Confidence word=0.125348 object=0.142061 =0.036212 Lift=2.033551}
election-NN  multiply=0.047343  P(election|object)=0.311111  P(object|election)=0.152174    Lift=0.003382 {Confidence word=0.125348 object=0.256267 =0.038997 Lift=1.21401}
political-JJ  multiply=0.039506  P(political|object)=0.177778  P(object|political)=0.222222    Lift=0.004938 {Confidence word=0.125348 object=0.100279 =0.022284 Lift=1.77284}
son-NN  multiply=0.03543  P(son|object)=0.288889  P(object|son)=0.122642    Lift=0.002725 {Confidence word=0.125348 object=0.295265 =0.036212 Lift=0.978407}
state-NN  multiply=0.026891  P(state|object)=0.266667  P(object|state)=0.10084    Lift=0.002241 {Confidence word=0.125348 object=0.331476 =0.033426 Lift=0.804482}
district-NN  multiply=0.025205  P(district|object)=0.288889  P(object|district)=0.087248    Lift=0.001939 {Confidence word=0.125348 object=0.415042 =0.036212 Lift=0.696048}
legislative-JJ  multiply=0.021227  P(legislative|object)=0.177778  P(object|legislative)=0.119403    Lift=0.002653 {Confidence word=0.125348 object=0.18663 =0.022284 Lift=0.95257}
assembly-NN  multiply=0.016822  P(assembly|object)=0.2  P(object|assembly)=0.084112    Lift=0.001869 {Confidence word=0.125348 object=0.29805 =0.02507 Lift=0.671028}
family-NN  multiply=0.015459  P(family|object)=0.088889  P(object|family)=0.173913    Lift=0.003865 {Confidence word=0.125348 object=0.064067 =0.011142 Lift=1.38744}
government-NN  multiply=0.015432  P(government|object)=0.111111  P(object|government)=0.138889    Lift=0.003086 {Confidence word=0.125348 object=0.100279 =0.013928 Lift=1.108025}
time-NN  multiply=0.01292  P(time|object)=0.111111  P(object|time)=0.116279    Lift=0.002584 {Confidence word=0.125348 object=0.119777 =0.013928 Lift=0.927649}

id=455  property=dbp:religion  object=Episcopalian  NumberOfEntitiesFoundForObject=13
son-NN  multiply=0.046444  P(son|object)=0.615385  P(object|son)=0.075472    Lift=0.005806 {Confidence word=0.036212 object=0.295265 =0.022284 Lift=2.08418}
president-NN  multiply=0.013575  P(president|object)=0.230769  P(object|president)=0.058824    Lift=0.004525 {Confidence word=0.036212 object=0.142061 =0.008357 Lift=1.624434}
democratic-JJ  multiply=0.012587  P(democratic|object)=0.230769  P(object|democratic)=0.054545    Lift=0.004196 {Confidence word=0.036212 object=0.153203 =0.008357 Lift=1.506294}
mayor-NN  multiply=0.010817  P(mayor|object)=0.230769  P(object|mayor)=0.046875    Lift=0.003606 {Confidence word=0.036212 object=0.178273 =0.008357 Lift=1.294471}

id=456  property=dbp:religion  object=Catholic  NumberOfEntitiesFoundForObject=26
district-NN  multiply=0.05808  P(district|object)=0.576923  P(object|district)=0.100671    Lift=0.003872 {Confidence word=0.072423 object=0.415042 =0.041783 Lift=1.390036}
republican-JJ  multiply=0.047203  P(republican|object)=0.346154  P(object|republican)=0.136364    Lift=0.005245 {Confidence word=0.072423 object=0.183844 =0.02507 Lift=1.882867}
state-NN  multiply=0.046542  P(state|object)=0.461538  P(object|state)=0.10084    Lift=0.003878 {Confidence word=0.072423 object=0.331476 =0.033426 Lift=1.392372}
election-NN  multiply=0.041806  P(election|object)=0.384615  P(object|election)=0.108696    Lift=0.004181 {Confidence word=0.072423 object=0.256267 =0.027855 Lift=1.500836}
seat-NN  multiply=0.038462  P(seat|object)=0.230769  P(object|seat)=0.166667    Lift=0.00641 {Confidence word=0.072423 object=0.100279 =0.016713 Lift=2.301282}
member-NN  multiply=0.034739  P(member|object)=0.538462  P(object|member)=0.064516    Lift=0.002481 {Confidence word=0.072423 object=0.604457 =0.038997 Lift=0.890819}
legislative-JJ  multiply=0.028129  P(legislative|object)=0.269231  P(object|legislative)=0.104478    Lift=0.004018 {Confidence word=0.072423 object=0.18663 =0.019499 Lift=1.442595}
